img_num,label,super_label,label_desc,super_label_desc
0,19,11,cattle,
1,29,15,dinosaur,
2,0,4,apple,
3,11,14,boy,
4,1,1,aquarium_fish,
5,86,5,telephone,
6,90,18,train,
7,28,3,cup,
8,23,10,cloud,
9,31,11,elephant,
10,39,5,computer_keyboard,
11,96,17,willow_tree,
12,82,2,sunflower,
13,17,9,castle,
14,71,10,sea,
15,39,5,computer_keyboard,
16,8,18,bicycle,
17,97,8,wolf,
18,80,16,squirrel,
19,71,10,sea,
20,74,16,shrew,
21,59,17,pine_tree,
22,70,2,rose,
23,87,5,television,
24,59,17,pine_tree,
25,84,6,table,
26,64,12,possum,
27,52,17,oak_tree,
28,42,8,leopard,
29,64,12,possum,
30,8,18,bicycle,
31,17,9,castle,
32,47,17,maple_tree,
33,65,16,rabbit,
34,21,11,chimpanzee,
35,22,5,clock,
36,81,19,streetcar,
37,11,14,boy,
38,24,7,cockroach,
39,84,6,table,
40,78,15,snake,
41,45,13,lobster,
42,49,10,mountain,
43,97,8,wolf,
44,56,17,palm_tree,
45,76,9,skyscraper,
46,11,14,boy,
47,90,18,train,
48,89,19,tractor,
49,78,15,snake,
50,73,1,shark,
51,14,7,butterfly,
52,87,5,television,
53,9,3,bottle,
54,71,10,sea,
55,6,7,bee,
56,47,17,maple_tree,
57,20,6,chair,
58,98,14,woman,
59,47,17,maple_tree,
60,36,16,hamster,
61,55,0,otter,
62,72,0,seal,
63,43,8,lion,
64,51,4,mushroom,
65,35,14,girl,
66,83,4,sweet_pepper,
67,33,10,forest,
68,27,15,crocodile,
69,53,4,orange,
70,92,2,tulip,
71,50,16,mouse,
72,15,11,camel,
73,89,19,tractor,
74,36,16,hamster,
75,18,7,caterpillar,
76,89,19,tractor,
77,46,14,man,
78,33,10,forest,
79,42,8,leopard,
80,39,5,computer_keyboard,
81,64,12,possum,
82,75,12,skunk,
83,38,11,kangaroo,
84,23,10,cloud,
85,42,8,leopard,
86,66,12,raccoon,
87,77,13,snail,
88,49,10,mountain,
89,18,7,caterpillar,
90,46,14,man,
91,15,11,camel,
92,35,14,girl,
93,69,19,rocket,
94,95,0,whale,
95,83,4,sweet_pepper,
96,75,12,skunk,
97,99,13,worm,
98,73,1,shark,
99,93,15,turtle,
100,55,0,otter,
101,39,5,computer_keyboard,
102,4,0,beaver,
103,97,8,wolf,
104,61,3,plate,
105,93,15,turtle,
106,51,4,mushroom,
107,69,19,rocket,
108,56,17,palm_tree,
109,84,6,table,
110,59,17,pine_tree,
111,64,12,possum,
112,94,6,wardrobe,
113,4,0,beaver,
114,11,14,boy,
115,33,10,forest,
116,68,9,road,
117,38,11,kangaroo,
118,20,6,chair,
119,33,10,forest,
120,34,12,fox,
121,32,1,flatfish,
122,46,14,man,
123,53,4,orange,
124,88,8,tiger,
125,67,1,ray,
126,70,2,rose,
127,64,12,possum,
128,53,4,orange,
129,64,12,possum,
130,8,18,bicycle,
131,96,17,willow_tree,
132,87,5,television,
133,30,0,dolphin,
134,20,6,chair,
135,30,0,dolphin,
136,66,12,raccoon,
137,19,11,cattle,
138,76,9,skyscraper,
139,87,5,television,
140,52,17,oak_tree,
141,62,2,poppy,
142,35,14,girl,
143,63,12,porcupine,
144,40,5,lamp,
145,4,0,beaver,
146,99,13,worm,
147,63,12,porcupine,
148,74,16,shrew,
149,53,4,orange,
150,26,13,crab,
151,95,0,whale,
152,48,18,motorcycle,
153,27,15,crocodile,
154,33,10,forest,
155,29,15,dinosaur,
156,39,5,computer_keyboard,
157,79,13,spider,
158,32,1,flatfish,
159,46,14,man,
160,64,12,possum,
161,28,3,cup,
162,85,19,tank,
163,32,1,flatfish,
164,82,2,sunflower,
165,78,15,snake,
166,39,5,computer_keyboard,
167,54,2,orchid,
168,28,3,cup,
169,66,12,raccoon,
170,65,16,rabbit,
171,72,0,seal,
172,21,11,chimpanzee,
173,64,12,possum,
174,62,2,poppy,
175,72,0,seal,
176,0,4,apple,
177,44,15,lizard,
178,7,7,beetle,
179,12,9,bridge,
180,19,11,cattle,
181,11,14,boy,
182,31,11,elephant,
183,61,3,plate,
184,79,13,spider,
185,45,13,lobster,
186,81,19,streetcar,
187,79,13,spider,
188,98,14,woman,
189,43,8,lion,
190,46,14,man,
191,67,1,ray,
192,80,16,squirrel,
193,68,9,road,
194,74,16,shrew,
195,48,18,motorcycle,
196,81,19,streetcar,
197,94,6,wardrobe,
198,86,5,telephone,
199,69,19,rocket,
200,39,5,computer_keyboard,
201,73,1,shark,
202,2,14,baby,
203,46,14,man,
204,49,10,mountain,
205,63,12,porcupine,
206,43,8,lion,
207,14,7,butterfly,
208,49,10,mountain,
209,68,9,road,
210,65,16,rabbit,
211,41,19,lawn_mower,
212,37,9,house,
213,45,13,lobster,
214,36,16,hamster,
215,21,11,chimpanzee,
216,77,13,snail,
217,37,9,house,
218,39,5,computer_keyboard,
219,8,18,bicycle,
220,9,3,bottle,
221,62,2,poppy,
222,86,5,telephone,
223,39,5,computer_keyboard,
224,19,11,cattle,
225,54,2,orchid,
226,39,5,computer_keyboard,
227,28,3,cup,
228,11,14,boy,
229,89,19,tractor,
230,90,18,train,
231,90,18,train,
232,79,13,spider,
233,66,12,raccoon,
234,81,19,streetcar,
235,21,11,chimpanzee,
236,79,13,spider,
237,40,5,lamp,
238,29,15,dinosaur,
239,22,5,clock,
240,13,18,bus,
241,25,6,couch,
242,11,14,boy,
243,38,11,kangaroo,
244,10,3,bowl,
245,96,17,willow_tree,
246,54,2,orchid,
247,65,16,rabbit,
248,39,5,computer_keyboard,
249,40,5,lamp,
250,42,8,leopard,
251,48,18,motorcycle,
252,48,18,motorcycle,
253,51,4,mushroom,
254,11,14,boy,
255,23,10,cloud,
256,23,10,cloud,
257,89,19,tractor,
258,52,17,oak_tree,
259,46,14,man,
260,2,14,baby,
261,95,0,whale,
262,43,8,lion,
263,86,5,telephone,
264,34,12,fox,
265,66,12,raccoon,
266,18,7,caterpillar,
267,46,14,man,
268,66,12,raccoon,
269,56,17,palm_tree,
270,57,4,pear,
271,1,1,aquarium_fish,
272,44,15,lizard,
273,11,14,boy,
274,82,2,sunflower,
275,23,10,cloud,
276,90,18,train,
277,56,17,palm_tree,
278,19,11,cattle,
279,68,9,road,
280,66,12,raccoon,
281,28,3,cup,
282,1,1,aquarium_fish,
283,57,4,pear,
284,67,1,ray,
285,5,6,bed,
286,13,18,bus,
287,78,15,snake,
288,6,7,bee,
289,84,6,table,
290,7,7,beetle,
291,41,19,lawn_mower,
292,65,16,rabbit,
293,80,16,squirrel,
294,12,9,bridge,
295,50,16,mouse,
296,63,12,porcupine,
297,26,13,crab,
298,8,18,bicycle,
299,53,4,orange,
300,60,10,plain,
301,99,13,worm,
302,97,8,wolf,
303,85,19,tank,
304,0,4,apple,
305,78,15,snake,
306,31,11,elephant,
307,10,3,bowl,
308,2,14,baby,
309,7,7,beetle,
310,43,8,lion,
311,83,4,sweet_pepper,
312,97,8,wolf,
313,91,1,trout,
314,82,2,sunflower,
315,28,3,cup,
316,42,8,leopard,
317,0,4,apple,
318,82,2,sunflower,
319,5,6,bed,
320,68,9,road,
321,60,10,plain,
322,30,0,dolphin,
323,98,14,woman,
324,82,2,sunflower,
325,20,6,chair,
326,64,12,possum,
327,66,12,raccoon,
328,10,3,bowl,
329,75,12,skunk,
330,54,2,orchid,
331,57,4,pear,
332,87,5,television,
333,66,12,raccoon,
