img_num,label,desc
0,9,Ankle boot
1,0,T-shirt/top
2,0,T-shirt/top
3,3,Dress
4,0,T-shirt/top
5,2,Pullover
6,7,Sneaker
7,2,Pullover
8,5,Sandal
9,5,Sandal
10,0,T-shirt/top
11,9,Ankle boot
12,5,Sandal
13,5,Sandal
14,7,Sneaker
15,9,Ankle boot
16,1,Trouser
17,0,T-shirt/top
18,6,Shirt
19,4,Coat
20,3,Dress
21,1,Trouser
22,4,Coat
23,8,Bag
24,4,Coat
25,3,Dress
26,0,T-shirt/top
27,2,Pullover
28,4,Coat
29,4,Coat
30,5,Sandal
31,3,Dress
32,6,Shirt
33,6,Shirt
34,0,T-shirt/top
35,8,Bag
36,5,Sandal
37,2,Pullover
38,1,Trouser
39,6,Shirt
40,6,Shirt
41,7,Sneaker
42,9,Ankle boot
43,5,Sandal
44,9,Ankle boot
45,2,Pullover
46,7,Sneaker
47,3,Dress
48,0,T-shirt/top
49,3,Dress
50,3,Dress
51,3,Dress
52,7,Sneaker
53,2,Pullover
54,2,Pullover
55,6,Shirt
56,6,Shirt
57,8,Bag
58,3,Dress
59,3,Dress
60,5,Sandal
61,0,T-shirt/top
62,5,Sandal
63,5,Sandal
64,0,T-shirt/top
65,2,Pullover
66,0,T-shirt/top
67,0,T-shirt/top
68,4,Coat
69,1,Trouser
70,3,Dress
71,1,Trouser
72,6,Shirt
73,3,Dress
74,1,Trouser
75,4,Coat
76,4,Coat
77,6,Shirt
78,1,Trouser
79,9,Ankle boot
80,1,Trouser
81,3,Dress
82,5,Sandal
83,7,Sneaker
84,9,Ankle boot
85,7,Sneaker
86,1,Trouser
87,7,Sneaker
88,9,Ankle boot
89,9,Ankle boot
90,9,Ankle boot
91,3,Dress
92,2,Pullover
93,9,Ankle boot
94,3,Dress
95,6,Shirt
96,4,Coat
97,1,Trouser
98,1,Trouser
99,8,Bag
100,8,Bag
101,0,T-shirt/top
102,1,Trouser
103,1,Trouser
104,6,Shirt
105,8,Bag
106,1,Trouser
107,9,Ankle boot
108,7,Sneaker
109,8,Bag
110,8,Bag
111,9,Ankle boot
112,6,Shirt
113,6,Shirt
114,3,Dress
115,1,Trouser
116,5,Sandal
117,4,Coat
118,6,Shirt
119,7,Sneaker
120,5,Sandal
121,5,Sandal
122,9,Ankle boot
123,2,Pullover
124,2,Pullover
125,2,Pullover
126,7,Sneaker
127,6,Shirt
128,4,Coat
129,1,Trouser
130,8,Bag
131,7,Sneaker
132,7,Sneaker
133,5,Sandal
134,4,Coat
135,2,Pullover
136,9,Ankle boot
137,1,Trouser
138,7,Sneaker
139,4,Coat
140,6,Shirt
141,9,Ankle boot
142,7,Sneaker
143,1,Trouser
144,8,Bag
145,7,Sneaker
146,1,Trouser
147,2,Pullover
148,8,Bag
149,0,T-shirt/top
150,9,Ankle boot
151,1,Trouser
152,8,Bag
153,7,Sneaker
154,0,T-shirt/top
155,5,Sandal
156,8,Bag
157,6,Shirt
158,7,Sneaker
159,2,Pullover
160,0,T-shirt/top
161,8,Bag
162,7,Sneaker
163,1,Trouser
164,6,Shirt
165,2,Pullover
166,1,Trouser
167,9,Ankle boot
